word value_1 value_2 value_3 value_4 value_5 value_6 value_7 value_8 value_9 value_10 value_11 value_12 value_13 value_14 value_15 value_16 value_17 value_18 value_19 value_20 value_21 value_22 value_23 value_24 value_25 value_26 value_27 value_28 value_29 value_30 value_31 value_32 value_33 value_34 value_35 value_36 value_37 value_38 value_39 value_40 value_41 value_42 value_43 value_44 value_45 value_46 value_47 value_48 value_49 value_50
all 0.33020824 -1.6861639 0.9712856 2.3618925 -1.0846477 -0.63174736 -1.1578001 1.5451704 0.8208174 -1.2338035 -0.26970872 -0.38200712 0.7382346 0.2986045 0.45724502 0.74058896 0.057719253 -0.9962386 0.01697349 0.5734707 0.6153522 -0.41268545 -0.90541303 0.267229 0.3272485 -0.4087575 -1.213131 -1.0786955 0.4313137 0.9773278 -1.3042985 -0.0774916 -1.040366 -0.7477353 1.4659319 -0.38739637 -1.394204 -0.10574133 0.1422888 -0.4457766 1.1539713 0.472325 -0.7595419 0.6866726 0.51301354 0.73408395 0.5026112 0.2860417 -1.279474 0.434661
with 0.914411 1.0178248 -1.3035219 -1.0490144 -0.25374642 0.30931154 -0.49295235 0.0035301617 2.2167504 -0.28941593 -0.31258327 -0.5394474 1.1790372 -0.40814957 -0.37586105 -0.4859909 -1.1097466 0.0018723984 -0.90611374 1.3630576 0.27774656 -0.09149507 1.9644976 -0.95882773 0.16889781 -0.15048116 0.66242784 1.3104815 -0.5127919 0.6542773 -0.7161512 -0.21122694 0.8314005 -1.128232 -1.242412 -1.158901 1.2133484 -1.0535792 -1.110526 -2.8798256 0.8632837 0.23654108 0.40097713 -2.2320518 -1.429324 0.3310343 0.14696091 0.56332743 0.9372665 -2.4418683
had -1.4411044 -0.9069327 1.1410537 1.1339157 0.35908088 0.33993894 0.8312298 -2.102443 0.093889445 -0.45892316 0.9491444 0.23014013 -0.015984228 -1.7745836 0.68630224 -1.1976492 0.3302076 1.60643 -0.0046875086 0.097494334 0.44183472 -0.1476588 -1.7419634 1.1168072 -1.3793148 0.66916 1.9641528 0.94973207 -1.1564037 -0.34548387 1.6807357 -0.65826285 -0.33123228 1.3891163 -0.69156903 0.5255582 -0.72861844 -0.78528774 -0.46990594 1.3797678 -0.45938438 -1.9460042 0.1709585 -2.6846113 0.61479825 0.69814897 0.2206913 0.82044655 -1.9025359 -1.7874632
but -0.69298357 -0.6781283 -0.50920564 0.23517531 1.9764307 0.9812827 -0.08278713 0.20577909 -0.5170976 1.7021102 -0.002098539 0.2677126 0.37812343 -1.3892026 -0.16951545 -0.41009113 -0.031275265 -1.4847908 -1.3373389 -1.2424195 -0.9900805 0.0055168658 -0.54144126 -0.21826601 0.1922861 0.5657586 -0.06712914 0.039592292 0.20400062 0.11606485 0.18577383 0.7165732 -0.31102225 -0.23243678 0.90058637 -0.40021208 0.61053467 0.656408 0.7790086 -0.36408105 0.3302751 -0.8535027 -1.3371941 0.50057304 -0.099846005 -0.32015154 -0.18122837 0.27578714 1.016665 -0.0441604
for 0.89564776 -0.22021298 -1.068604 0.88532245 0.36820447 -1.0343658 0.5577807 0.46779487 -1.3767751 1.046743 -0.047205187 -0.16437362 -0.984529 -0.6154457 2.0210638 0.46838856 -0.57311517 0.38961276 -1.5361778 -0.75933224 0.23098162 -0.9474847 -1.2124457 -0.5644261 -0.69525725 -0.5241051 0.52969027 0.8497938 -1.0431151 -1.2268133 -2.1693158 0.9823423 0.8284518 1.0027558 -1.0008581 0.110802956 -0.552526 -1.0953155 0.73746204 -0.023478454 -0.8110695 0.16312803 -1.6110021 -1.5057545 -0.3256566 1.86207 -0.95739615 -0.8376108 0.23031828 -3.0015943
they 1.4235508 -1.413339 0.023272088 0.26349673 -0.97267616 -1.890658 -1.6279618 0.9825719 -0.4571492 -0.3378786 0.5337281 -1.746709 0.1604053 -2.486133 -0.84671795 1.4135667 1.1082156 -0.012224576 1.4386836 1.324814 -1.1188993 -0.34139425 0.046720054 -2.04568 0.040072434 0.62429583 0.7026848 -1.0180895 -0.3256325 -0.46204793 1.1718644 1.443682 0.049274467 2.2585504 -0.050765604 -1.6429508 1.0073922 -0.11098829 0.2188421 -1.7972205 -1.2381747 1.8968737 0.89453554 0.16519487 1.0441152 -0.36864004 0.95669335 -0.5214701 -0.22038114 0.14845732
so -0.29930878 -1.3642375 1.1104513 -1.3320436 1.1763966 1.0369945 -0.26424724 -0.40468076 0.33524412 -0.52016926 -0.44426027 -0.7177133 -1.1522833 -0.9825039 -0.4562154 -0.12551941 -1.2209895 2.0525682 -1.2380556 -0.006409426 0.07302778 -0.4544597 -2.0811622 -0.95171636 -0.9711412 -0.24990955 0.9608889 0.0378886 1.8220026 -1.6462022 -0.041194845 0.52793133 -2.3931406 0.36969605 0.7843902 -0.023267971 0.21422547 0.3010944 -0.27919963 1.0786804 0.617034 0.877446 -0.33220443 0.33712983 -0.51738816 0.59690076 1.7937354 -0.5369904 0.45852 0.5613926
be -0.22903563 0.064059176 1.4675915 0.07428424 0.4639391 -0.23586513 -1.0087495 -1.9288685 -0.41898987 -0.27837586 0.34950364 -0.24631187 1.7762403 -1.3779914 0.6343966 0.55424714 -1.6409005 0.16486391 -0.8593774 -0.07562054 -1.2486091 1.0880786 -0.18167952 -0.7504514 0.8739213 1.0473579 0.8094007 -2.4162474 0.90229267 1.6228716 -0.47915265 -0.73760945 -0.10877798 0.99923027 -1.4387498 -2.3072999 0.26894778 0.30344766 -2.2788465 -0.15207614 -1.9051821 0.2629882 1.2415715 -0.6131304 1.1018721 -1.1839265 0.05989265 0.41720715 -1.7492863 1.0661435
not 0.72784936 -1.8932884 0.31457248 0.28519997 0.960624 -1.6173948 0.03820257 -0.42176348 -0.9430709 0.14535357 0.13113499 0.88056374 1.0775112 -1.5721849 -0.85776305 0.32159835 -2.253518 1.1501716 0.3329915 0.7493489 -0.44570738 -1.5741097 0.41129556 -1.1504047 0.45629022 0.11657422 0.0283401 -1.0592746 0.8654396 -0.31812274 -0.007153155 1.3322303 -1.4319952 0.13290961 0.31421307 -0.16279657 1.0862007 0.40321285 2.3798575 1.2007439 -0.40533504 1.6174612 -1.3600414 -0.440359 0.19536039 0.8740405 -0.91681236 -0.9780353 -0.43737847 0.7103493
very 0.48694947 0.7879743 1.5994998 -0.80231273 3.0738485 -0.06620567 0.32703 -1.1475098 0.43101498 1.411643 0.74360406 0.43736827 -1.3090045 -0.053234868 0.3758992 0.33417282 -1.430693 1.7815834 0.7713473 -0.75902957 1.4495747 1.2750372 -0.95503193 0.8505401 -0.1517957 -1.1367753 -0.68761176 -1.4177372 0.49371433 -0.75048226 0.6723796 -1.0125995 0.46919918 -0.0077993427 1.027163 0.30019617 0.7776905 0.6276094 -0.48018295 0.6237696 -0.03386364 1.8802814 -0.44790602 1.9920421 -0.6774748 0.6240611 -0.61018556 -0.9304671 -0.80855656 -0.025969187
