words value_1 value_2 value_3 value_4 value_5 value_6 value_7 value_8 value_9 value_10 value_11 value_12 value_13 value_14 value_15 value_16 value_17 value_18 value_19 value_20 value_21 value_22 value_23 value_24 value_25 value_26 value_27 value_28 value_29 value_30 value_31 value_32 value_33 value_34 value_35 value_36 value_37 value_38 value_39 value_40 value_41 value_42 value_43 value_44 value_45 value_46 value_47 value_48 value_49 value_50
all 0.49733695 0.6655647 0.025296517 -0.16398746 0.35623202 0.86030453 -0.33011633 -0.13215356 -0.023854736 -0.26109084 -0.49251968 0.20353532 0.19435649 -0.039069198 0.0066340365 -0.23466308 0.4732949 0.27593896 0.5167368 0.42442024 -0.353602 -0.35526046 -0.31475246 -0.19394363 0.17424585 -0.41611978 -0.086010054 -0.53447294 -0.3221086 0.4146951 0.93917626 0.0137255695 -0.18869598 -0.27671728 0.1522762 0.03351434 -0.16002521 0.5471965 0.035805497 -0.26231998 -0.5553405 0.34239015 0.4426929 -0.21265507 -0.39520368 0.060959626 -0.06769172 -0.32989845 0.048699807 0.33159104
with -0.60486853 -0.6064711 -0.07276097 -0.0280494 -0.068954274 -0.29482117 0.37777123 0.7668165 0.8037722 0.108360216 -0.006476635 0.33099106 0.37521753 -0.45513025 -0.1427368 -0.5513961 -0.025925718 0.6404931 0.8094115 -0.4254346 -0.1704648 0.6693684 -0.09720738 0.37906912 0.21710089 0.4676853 -0.18082154 0.061382864 0.532605 -0.2786013 0.392105 -0.16833554 -0.8236976 -0.19465612 -0.2560132 0.28968686 -0.3288729 -0.049657885 -0.3560478 -0.08579159 -0.13613538 0.655826 0.38730687 -0.46778774 -0.022609293 -0.4564964 0.14216629 -0.34800255 0.5941584 0.21923465
had 0.20706789 -0.17230825 0.17115906 0.35867894 0.09949175 0.52677053 -0.7501183 -0.22606392 -0.05404802 -0.4391603 -0.5108278 0.113471426 -0.19360141 -0.046592847 -0.14032134 0.5229108 -0.6661688 -0.4679125 0.80272824 -0.73908997 -0.58945173 -0.020256363 -0.32350048 -0.13691935 -0.44099197 0.2260523 -0.43838438 0.15812634 0.35758063 0.08701875 -0.22590834 -0.43643495 -0.0018750731 0.38943416 0.23716356 0.2873641 -0.4656132 -0.7355665 -0.13507405 0.106298596 -0.14457011 -0.18096916 0.055845227 1.0069973 -0.78821903 0.3682713 0.16903496 -0.018778933 -0.25176108 0.17464845
but 0.20511937 0.43912765 -0.04849032 -0.3661144 -0.17612293 0.5333742 0.008396643 0.06926706 0.19743416 -0.046921458 -0.27403244 -0.18352127 0.3835224 -0.753281 -0.25482187 0.5411868 0.39393583 -0.6110301 0.5019026 -0.6418157 0.043374225 0.17515479 -0.04380165 -0.027731195 0.53778243 -0.3990246 -0.119767636 -0.1910444 0.28325245 -0.13981757 -0.08747433 0.06857584 -0.37692168 -0.13429718 0.5754376 -0.51259243 0.4566122 0.2329683 0.25408226 -0.1735205 -0.2678189 0.43780047 -0.23186184 -0.4363678 0.2745106 0.06833087 0.33266765 -0.20642515 -0.29894248 0.34820694
for 0.35191533 0.5879515 0.083120696 0.14396462 -0.3110257 0.7531203 -0.06382104 0.44544968 0.3653761 -0.481482 0.42155197 -0.40881774 -0.44169533 0.3413723 -0.3481358 0.28758162 0.41200304 0.28175005 -0.2145392 -0.6633105 0.8206547 0.49600813 -0.20358288 0.10597416 -0.004620835 -0.28182852 -0.42444932 0.30355987 0.08844179 0.35054967 0.08175351 -0.23307097 -0.6060494 0.10474539 -0.18042845 0.18310107 -0.9216012 0.16689543 0.03784283 -0.012590451 -0.27438146 -0.06762777 -0.16184881 -0.15973984 -0.4181482 0.24434671 0.2835482 -0.5751237 0.5446109 0.023761876
they 0.33025202 -0.24846378 -0.36977354 0.11407351 0.3061319 0.34220257 -0.21116488 -0.27180684 -0.062821545 -0.5818163 -0.39939806 0.44200307 0.0035238117 -0.62961197 0.14613198 0.46460053 -0.5257151 0.41552877 0.49633637 0.46493363 0.62257063 -0.59377337 -0.7305039 -0.22170101 0.24341053 0.4747921 0.24652559 -0.8775416 -0.055764616 -0.4676634 0.12323218 0.26715103 -0.47023472 0.2098888 0.11310566 -0.23110396 -0.90605074 -0.071304224 -0.37204498 -0.5589767 0.19133542 -0.38377807 -0.27893052 -0.27103883 0.32220903 -0.44115287 -0.2938636 0.0143262725 0.07642017 0.67960066
so 0.20128673 -0.1824265 -0.9647789 0.2337864 -0.13040023 0.23447101 0.13707197 -0.041908447 0.32923275 -0.54922557 -0.36345348 -0.2291368 0.15467225 0.29383266 0.42395052 0.1678373 0.017059268 -0.043655448 -0.23444209 -0.6049203 0.1432235 -0.3179106 0.5406731 0.36823893 0.11454244 -0.7054266 -0.5023441 -0.8793591 0.8145627 -0.2956842 0.33610836 -0.015330413 -0.2440604 0.32040566 -0.18724307 -0.0012068468 -0.31154385 -0.12964569 0.0037931171 0.13561615 -0.23162581 -0.08181915 0.446281 0.9125458 -0.025327247 -0.019156465 -0.05665049 0.045074496 -0.16535166 0.14120814
be 0.5223439 0.029568791 -0.42826974 0.29288885 0.17352621 -0.6455597 0.19537628 0.026978182 -0.33294517 0.7790829 -0.70837975 0.3612358 -0.04098707 -0.10480418 0.43742445 0.40940562 -0.18483697 -0.49883237 0.35498703 -0.20246539 0.34793246 -0.024331523 -0.4353342 -0.27827442 -0.34106812 0.1871168 -0.577827 0.32104236 0.5781568 -0.028417954 1.0022156 0.54853 -0.25991085 0.15877387 0.84607565 -0.18565051 -0.8841565 -0.6627509 0.29237065 0.018340401 0.005964134 0.33492127 -0.33020028 -0.4256099 0.14668626 0.36330944 0.23094459 0.29846996 0.30404678 -0.4798068
not 0.20341754 -0.5157046 -0.28214347 0.52831435 -0.2970916 0.23816471 0.17042518 -0.013565831 -0.32017332 0.37520695 -0.5185591 -0.43171257 -0.112195924 -0.4372425 -0.43964982 0.60440916 0.12034141 -0.6736381 0.0110615 -0.015904956 -0.23833162 0.045329694 0.45859435 -0.38949153 -0.06493012 -0.61669195 -0.53877497 -0.22264932 0.21168876 -0.4163443 -0.197097 0.4174107 -0.37621728 0.35979623 -0.32456413 -0.2795292 -0.78484744 -0.009031081 -0.10684449 0.49923268 -1.0429447 -0.18742406 0.19267538 -0.30798015 0.24177967 -0.173029 0.44944903 -0.6159846 0.5072423 0.49118823
very -0.15443437 -0.037800826 -0.42982122 -0.16040757 0.2526874 -0.20990893 -0.7830471 0.03787373 0.3008542 0.15195577 0.1471466 -0.30792844 0.48455018 0.4600971 0.31983036 0.6557735 0.8875746 -0.26290104 -0.47340727 0.17918254 -0.4628111 -0.18873559 0.29643807 -0.22573125 0.6278133 -0.4483376 -0.27843574 0.35011655 0.4916377 -0.3044804 0.5372554 -0.11242689 -0.025061129 0.27283755 0.040749267 -0.40305588 -0.19469525 -0.592624 -0.261421 -0.44345072 0.025416471 -0.08886283 -0.39664748 0.9136634 0.45370808 -0.5223324 0.5148112 -0.5722173 -0.22161442 0.06042429
